device_id,uptime_hours,failures,avg_latency_ms,error_rate
D1,1360,1,140.11,0.0109
D2,1982,3,307.08,0.097
D3,2015,1,201.11,0.0406
D4,2547,3,178.61,0.0208
D5,1767,1,142.45,0.0074
D6,2935,3,218.78,0.0239
D7,2639,2,241.13,0.0319
D8,1629,1,138.96,0.0844
D9,2079,4,149.55,0.0279
D10,1576,3,120.84,0.0303
D11,564,0,106.22,0.0301
D12,1662,2,131.66,0.061
D13,2778,4,273.45,0.0669
D14,2395,4,143.81,0.0725
D15,1002,2,180.07,0.0117
D16,1363,2,196.96,0.0908
D17,2778,3,159.58,0.093
D18,2097,5,174.91,0.0809
D19,1996,1,180.39,0.082
D20,2268,1,126.82,0.0539
D21,817,0,182.86,0.0943
D22,2131,2,159.89,0.0261
D23,1791,2,203.01,0.0061
D24,2259,2,323.16,0.0495
D25,2195,2,133.91,0.0805
D26,697,0,166.59,0.0818
D27,2691,3,285.33,0.0026
D28,2486,2,243.68,0.0941
D29,2459,3,182.16,0.0663
D30,2893,7,227.81,0.0286
D31,2182,5,214.65,0.0015
D32,2419,4,164.28,0.0028
D33,897,0,238.5,0.0851
D34,900,0,263.42,0.0547
D35,1454,1,243.93,0.0635
D36,725,0,188.02,0.0649
D37,1459,2,273.99,0.0053
D38,1743,3,219.84,0.0954
D39,801,3,252.28,0.0324
D40,627,0,182.89,0.0401
D41,1069,1,231.76,0.0365
D42,654,0,145.99,0.0329
D43,745,0,245.26,0.0812
D44,1420,1,169.8,0.0015
D45,535,2,211.61,0.0345
D46,1615,3,208.81,0.0163
D47,1648,3,217.72,0.0333
D48,2811,3,105.98,0.0061
D49,546,1,134.6,0.0747
D50,1869,0,100.47,0.0963
D51,1650,2,176.25,0.0554
D52,1059,0,167.33,0.0935
D53,1396,4,163.46,0.076
D54,1743,0,136.0,0.005
D55,2273,2,234.95,0.0353
D56,2257,1,229.99,0.095
D57,2989,10,211.35,0.0822
D58,1791,3,186.45,0.0079
D59,2130,1,122.81,0.0659
D60,2125,2,255.84,0.0696
D61,2149,5,237.36,0.0991
D62,2071,5,230.52,0.0753
D63,2764,3,122.75,0.0109
D64,2135,0,157.86,0.0906
D65,575,0,205.18,0.0488
D66,1890,0,213.38,0.0101
D67,895,1,238.53,0.0792
D68,2656,5,233.35,0.0709
D69,1250,0,230.69,0.011
D70,2042,2,267.89,0.0893
D71,1717,0,127.6,0.0815
D72,1010,2,129.63,0.0711
D73,2310,4,184.88,0.0474
D74,1581,5,199.77,0.0406
D75,2031,2,203.48,0.0993
D76,1752,2,249.18,0.0175
D77,2049,4,192.84,0.0116
D78,872,0,169.97,0.0196
D79,589,0,162.15,0.0367
D80,1239,3,156.25,0.0816
D81,1424,0,284.23,0.092
D82,509,2,113.48,0.0036
D83,2324,5,212.93,0.0073
D84,2652,2,261.63,0.0866
D85,2500,7,167.17,0.0282
D86,1969,2,161.05,0.0276
D87,2074,5,251.33,0.0409
D88,1123,1,208.3,0.0787
D89,1077,5,156.57,0.0729
D90,748,2,205.82,0.0626
D91,2628,4,219.2,0.0498
D92,704,0,198.37,0.0584
D93,2406,4,228.01,0.0418
D94,2387,3,154.39,0.005
D95,1528,1,202.54,0.0539
D96,1023,0,175.57,0.0371
D97,1601,1,197.92,0.0691
D98,1579,2,154.99,0.0284
D99,1780,0,208.91,0.0541
D100,555,0,201.78,0.0622
D101,2625,2,242.57,0.0896
D102,2910,2,150.6,0.0537
D103,1715,1,167.67,0.0129
D104,2692,4,145.92,0.0588
D105,1993,3,156.22,0.0649
D106,2261,2,130.86,0.0934
D107,1960,1,167.47,0.0195
D108,2897,2,175.64,0.0529
D109,1563,5,199.56,0.0726
D110,1964,4,222.57,0.0968
D111,2310,3,189.33,0.0511
D112,2526,4,206.93,0.021
D113,1691,3,163.83,0.0418
D114,1618,3,321.69,0.0734
D115,1660,1,209.18,0.0058
D116,1872,2,217.66,0.0172
D117,1224,0,232.67,0.0909
D118,1100,3,135.44,0.0383
D119,2969,4,162.64,0.0237
D120,2470,4,202.75,0.088
D121,1812,3,145.43,0.0747
D122,1777,2,159.15,0.0757
D123,1641,1,264.35,0.0158
D124,2594,2,177.77,0.0602
D125,2455,3,208.53,0.0407
D126,1314,1,241.78,0.0913
D127,1484,2,260.25,0.0381
D128,2428,5,233.62,0.0985
D129,2145,2,147.27,0.0612
D130,1832,2,163.53,0.034
D131,1074,3,242.03,0.0591
D132,1454,1,198.08,0.0185
D133,2490,1,251.94,0.0285
D134,2703,4,165.09,0.0862
D135,1586,3,160.87,0.0899
D136,2579,5,233.71,0.0717
D137,693,1,279.59,0.0112
D138,554,1,199.1,0.0278
D139,2401,7,201.28,0.0599
D140,1787,0,129.46,0.0251
D141,1811,4,229.66,0.0023
D142,1274,2,184.52,0.0878
D143,1808,4,265.79,0.0275
D144,2808,4,112.34,0.0975
D145,1887,2,205.71,0.0431
D146,1020,2,207.52,0.0148
D147,2551,5,199.59,0.0077
D148,2200,3,267.96,0.0146
D149,1145,1,195.06,0.0578
D150,1201,1,314.9,0.0175
D151,1886,1,188.75,0.0916
D152,686,0,260.38,0.0571
D153,597,0,112.26,0.0544
D154,2262,5,193.81,0.0351
D155,2843,4,224.99,0.0698
D156,601,1,226.63,0.0101
D157,1540,2,253.23,0.0735
D158,2250,6,205.98,0.0673
D159,1277,3,163.35,0.0734
D160,2021,3,181.93,0.0461
D161,1966,1,129.74,0.0129
D162,1621,3,225.05,0.0577
D163,1872,4,145.29,0.099
D164,750,3,81.42,0.0998
D165,528,1,314.94,0.0875
D166,1762,1,181.86,0.0343
D167,839,1,184.98,0.0294
D168,2871,4,159.76,0.0118
D169,1463,3,249.22,0.0945
D170,510,3,189.3,0.0408
D171,1833,2,174.12,0.0195
D172,2806,5,170.05,0.053
D173,2414,3,172.39,0.0232
D174,2530,0,231.65,0.0896
D175,1880,0,181.87,0.0138
D176,1718,5,229.19,0.0414
D177,1474,0,188.23,0.0537
D178,536,0,205.11,0.0686
D179,1472,3,175.53,0.0681
D180,2496,8,252.21,0.0683
D181,690,1,252.01,0.0015
D182,2910,2,195.26,0.0561
D183,1088,1,240.89,0.0981
D184,2564,2,125.53,0.082
D185,1507,0,212.47,0.0963
D186,1935,2,278.87,0.0938
